2026-05-16 23:50:17.818 | WARNING  | DuckDB     | DuckDB | 数据库占用中，准备重试... (1/5)
2026-05-16 23:58:57.004 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260416...
2026-05-16 23:58:57.779 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260415...
2026-05-16 23:58:58.559 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260414...
2026-05-16 23:58:59.598 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260413...
2026-05-16 23:59:00.380 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260410...
2026-05-16 23:59:01.228 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260409...
2026-05-16 23:59:02.067 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260408...
2026-05-16 23:59:02.844 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260407...
2026-05-16 23:59:04.000 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260403...
2026-05-16 23:59:04.780 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260402...
2026-05-16 23:59:05.594 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260401...
2026-05-16 23:59:06.412 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260331...
2026-05-16 23:59:07.178 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260330...
2026-05-16 23:59:07.978 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260327...
2026-05-16 23:59:08.808 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260326...
2026-05-16 23:59:09.968 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260325...
2026-05-16 23:59:10.762 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260324...
2026-05-16 23:59:11.538 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260323...
2026-05-16 23:59:12.339 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260320...
2026-05-16 23:59:13.173 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260319...
2026-05-16 23:59:13.950 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260318...
2026-05-16 23:59:14.759 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260317...
2026-05-16 23:59:15.534 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260316...
2026-05-16 23:59:16.307 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260313...
2026-05-16 23:59:17.601 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260312...
2026-05-16 23:59:18.426 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260311...
2026-05-16 23:59:19.249 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260310...
2026-05-16 23:59:20.059 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260309...
2026-05-16 23:59:20.886 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260306...
2026-05-16 23:59:21.671 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260305...
2026-05-16 23:59:22.439 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260304...
2026-05-16 23:59:23.257 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260303...
2026-05-16 23:59:24.024 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260302...
2026-05-16 23:59:24.841 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260227...
2026-05-16 23:59:25.667 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260226...
2026-05-16 23:59:27.161 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260225...
2026-05-16 23:59:27.958 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260224...
2026-05-16 23:59:28.794 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260213...
2026-05-16 23:59:29.617 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260212...
2026-05-16 23:59:30.426 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260211...
2026-05-16 23:59:31.224 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260210...
2026-05-16 23:59:32.018 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260209...
2026-05-16 23:59:32.795 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260206...
2026-05-16 23:59:33.611 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260205...
2026-05-16 23:59:34.395 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260204...
2026-05-16 23:59:35.217 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260203...
2026-05-16 23:59:36.024 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260202...
2026-05-16 23:59:36.781 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260130...
2026-05-16 23:59:38.327 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260129...
2026-05-16 23:59:39.178 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260128...
2026-05-16 23:59:39.940 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260127...
2026-05-16 23:59:40.755 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260126...
2026-05-16 23:59:41.523 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260123...
2026-05-16 23:59:42.293 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260122...
2026-05-16 23:59:43.106 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260121...
2026-05-16 23:59:43.952 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260120...
2026-05-16 23:59:44.760 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260119...
2026-05-16 23:59:45.558 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260116...
2026-05-16 23:59:46.342 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260115...
2026-05-16 23:59:47.170 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260114...
2026-05-16 23:59:47.972 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260113...
2026-05-16 23:59:48.770 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260112...
2026-05-16 23:59:49.610 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260109...
2026-05-16 23:59:50.372 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260108...
2026-05-16 23:59:51.192 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260107...
2026-05-16 23:59:52.892 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260106...
2026-05-16 23:59:53.687 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260105...
2026-05-16 23:59:54.509 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251231...
2026-05-16 23:59:55.325 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251230...
2026-05-16 23:59:56.127 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251229...
2026-05-16 23:59:56.919 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251226...
2026-05-16 23:59:57.711 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251225...
2026-05-16 23:59:58.476 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251224...
2026-05-16 23:59:59.255 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251223...
